number,text,filename
701,das Pronomen,0701.mp3
702,das Präfix,0702.mp3
703,das Präteritum,0703.mp3
704,das Quiz,0704.mp3
705,das Radfahren,0705.mp3
706,das Regal,0706.mp3
707,das Reisezentrum,0707.mp3
708,das Restaurant,0708.mp3
709,das Salz,0709.mp3
710,das Schild,0710.mp3
711,das Schlafzimmer,0711.mp3
712,das Schloss,0712.mp3
713,das Schwimmbad,0713.mp3
714,das Schwimmen,0714.mp3
715,Das sind,0715.mp3
716,das Skifahren,0716.mp3
717,das Sofa,0717.mp3
718,das Sonderangebot,0718.mp3
719,das Spiel,0719.mp3
720,das Stück,0720.mp3
721,das Subjekt,0721.mp3
722,das Surfen,0722.mp3
723,das Tennis,0723.mp3
724,das Ticket,0724.mp3
725,das Tischtennis,0725.mp3
726,das Verb,0726.mp3
727,das Verbot,0727.mp3
728,das Vorzimmer,0728.mp3
729,das Waschmittel,0729.mp3
730,das Wasser,0730.mp3
731,das Wetter,0731.mp3
732,das Wochenende,0732.mp3
733,das Wohnzimmer,0733.mp3
734,das Wort,0734.mp3
735,das Xylofon,0735.mp3
736,das Yoga,0736.mp3
737,das Zebra,0737.mp3
738,das Zimmer,0738.mp3
739,das Zuhause,0739.mp3
740,das Öl,0740.mp3
741,das Übergewicht,0741.mp3
742,dein Auto,0742.mp3
743,dein Fernseher,0743.mp3
744,dem Kind,0744.mp3
745,dem Mann,0745.mp3
746,dem Studenten,0746.mp3
747,dem Supermarkt,0747.mp3
748,den Gleisen,0748.mp3
749,den Kunden,0749.mp3
750,der Abend,0750.mp3
751,der Anfänger,0751.mp3
752,der Apfel,0752.mp3
753,der Appetit,0753.mp3
754,der April,0754.mp3
755,der Arm,0755.mp3
756,der Arzt,0756.mp3
757,der Aufzug,0757.mp3
758,der August,0758.mp3
759,der Ausgang,0759.mp3
760,der Aushang,0760.mp3
761,der Ausländer,0761.mp3
762,der Ausweis,0762.mp3
763,der Automat,0763.mp3
764,der Bahnhof,0764.mp3
765,der Bahnsteig,0765.mp3
766,der Balkon,0766.mp3
767,der Ball,0767.mp3
768,der Ballon,0768.mp3
769,der Basketball,0769.mp3
770,der Bauch,0770.mp3
771,der Baum,0771.mp3
772,der Becher,0772.mp3
773,der Beleg,0773.mp3
774,der Berg,0774.mp3
775,der Beruf,0775.mp3
776,der Betrieb,0776.mp3
777,der Beutel,0777.mp3
778,der Bleistift,0778.mp3
779,der Blitz,0779.mp3
780,der Blutdruck,0780.mp3
781,der Brief,0781.mp3
782,der Bruder,0782.mp3
783,der Buchstabe,0783.mp3
784,der Bus,0784.mp3
785,der Bär,0785.mp3
786,der Cousin,0786.mp3
787,der Dank,0787.mp3
788,der das,0788.mp3
789,der dem,0789.mp3
790,der den,0790.mp3
791,der Deutsche,0791.mp3
792,der Dezember,0792.mp3
793,der die,0793.mp3
794,der Dienstag,0794.mp3
795,der Donner,0795.mp3
796,der Donnerstag,0796.mp3
797,der Durchfall,0797.mp3
798,der Eingang,0798.mp3
799,der Einkaufskorb,0799.mp3
800,der Einkaufswagen,0800.mp3
801,der Eintritt,0801.mp3
802,der Eiskunstlauf,0802.mp3
803,der Elefant,0803.mp3
804,der Empfang,0804.mp3
